### Digits after some words are just use by the preprocessing step to distinguish
### several identical words that appear in the same sentence.
### The neural network does not see them, nor use them, because they are removed
### at the preprocessing step.

<close class words>
#TODO
</close class words>
<train data>
### subject 1: FR-CM
pointe cercle;pointe le cercle
attrape croix;attrape la croix
touche croix;touche la croix
déplace croix droite;déplace la croix à droite
pousse triangle gauche;pousse le triangle vers la gauche
pointe triangle, attrape cercle;pointe le triangle et attrape le cercle
pointe triangle, touche cercle;pointe le triangle et touche le cercle
attrape croix, pointe cercle;attrape la croix et pointe le cercle
toucher croix, pointer cercle;tu dois toucher la croix puis pointer le cercle
attrape cercle, pointe cercle;attrape le cercle puis pointe le
touche cercle1, pointe cercle2;touche le cercle1 puis pointe le cercle2
pointe triangle1, attrape triangle2;pointe le triangle1 et attrape le triangle2
pointe triangle1, touche triangle2;pointe le triangle1 et touche le triangle2
attrape1 triangle, attrape2 croix;attrape1 le triangle puis attrape2 la croix
touche triangle, touche croix;touche le triangle puis la croix
pointe croix, pointe cercle;pointe la croix puis le cercle
pointe1 croix1, pointe2 croix2;pointe1 la croix1 puis pointe2 la croix2
attrape1 cercle1, attrape2 cercle2;attrape1 le cercle1 et à nouveau attrape2 le cercle2
touche cercle, touche cercle;touche le cercle deux fois
pointe triangle, déplace cercle milieu;pointe le triangle puis déplace le cercle au milieu
déplace croix gauche, attrape cercle;déplace la croix à gauche puis attrape le cercle
déplace croix gauche, touche cercle;déplace la croix à gauche puis touche le cercle
déplace croix1 droite, pointe croix2;déplace la croix1 à droite et pointe la croix2
attrape triangle, déplace triangle gauche;attrape le triangle et déplace le à gauche
touche triangle, déplace triangle gauche;touche le triangle et déplace le à gauche
déplace1 triangle milieu, déplace2 croix droite;déplace1 le triangle au milieu et déplace2 la croix à droite
déplace cercle gauche, pousse croix milieu;déplace le cercle à gauche puis pousse la croix au milieu
pousse cercle1 gauche, déplace cercle2 milieu;pousse le cercle1 à gauche et déplace le cercle2 au milieu
pousse cercle milieu, déplace cercle droite;pousse le cercle au milieu puis déplace le à droite
déplace triangle gauche, pousse triangle milieu;déplace le triangle à gauche et ensuite pousse le au milieu
pousse1 croix droite, pousse2 triangle milieu;pousse1 la croix à droite et pousse2 le triangle au milieu
déplace1 triangle milieu, déplace2 cercle gauche;déplace1 le triangle au milieu puis déplace2 le cercle à gauche
déplace croix1 droite1, pousse croix2 droite2;déplace la croix1 à droite1 puis pousse la croix2 en cercle0 vers la droite2
pousse triangle milieu1, déplace cercle milieu2;pousse le triangle au milieu1 et déplace le cercle au milieu2
